Visualization,Anxiety,8
The 4-7-8 Approach,Anxiety,5
The 5-4-3-2-1 Technique,Anxiety,5
Mindful Meditation,Anxiety,9
Get In Tuned ,Depression,10
Starting Simple,Depression,5
Counteract the Thoughts,Depression,10
Embrace to Overcome,Depression,7
Leisurely Pursuits,Loneliness,7
Online Escape,Loneliness,4
Tune Into You,Loneliness,6
Out and About,Loneliness,6
The A-B-C Technique,Stress,5
Welcoming the Inevitable,Stress,8
Respond to the Tension,Stress,8
Manoeuvre the Stress,Stress,5
Downtime and Unwind,Normal,5
Go Out and Connect,Normal,7
